WKT,class_dbt,nome_dbt,tipo_dbt,dest_ind,sup_mq
"MULTIPOLYGON (((486738.7766 5058129.2278,486734.9878 5058129.1715,486746.6895 5058131.7636,486765.803 5058140.2861,486776.9743 5058146.2427,486789.0184 5058153.9405,486816.9195 5058170.7966,486842.6776 5058187.3641,486877.5025 5058208.7928,486892.2667 5058217.4858,486916.7243 5058230.9785,486917.2749 5058229.9363,486898.275 5058219.5425,486894.7281 5058217.5855,486893.285 5058216.7345,486879.6272 5058208.6866,486878.5802 5058208.0696,486868.1033 5058201.2537,486863.3839 5058198.3958,486861.9128 5058197.5049,486859.7064 5058196.1688,486845.1895 5058187.3789,486842.1886 5058185.45,486831.6307 5058178.6671,486827.9527 5058176.3041,486817.5638 5058169.6292,486814.3718 5058167.5782,486813.1748 5058166.8092,486790.371 5058152.9315,486777.5892 5058145.1526,486770.9284 5058141.6746,486766.8604 5058139.5506,486759.4644 5058135.6877,486747.1285 5058130.5518,486738.7766 5058129.2278)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"273"
"MULTIPOLYGON (((486660.9834 5056005.5353,486655.4915 5056003.5393,486654.7858 5056005.4771,486660.2765 5056007.4766,486660.6634 5056006.4143,486660.9834 5056005.5353)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"12"
"MULTIPOLYGON (((485888.4905 5057094.5876,485889.9598 5057095.1508,485890.4312 5057093.9278,485890.7844 5057092.9665,485901.8718 5057062.7925,485902.6519 5057060.6695,485901.2385 5057060.0795,485894.4733 5057078.3264,485887.4134 5057075.6164,485886.7028 5057077.5536,485893.7791 5057080.1987,485888.9108 5057093.3292,485888.4905 5057094.5876)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"74"
"MULTIPOLYGON (((487360.2895 5058049.0792,487357.5011 5058047.3201,487356.6583 5058048.7211,487360.5549 5058051.1794,487361.291 5058049.711,487360.2895 5058049.0792)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"7"
"MULTIPOLYGON (((486804.406 5056990.5679,486806.55 5056986.95,486810.704 5056989.228,486812.915 5056989.965,486815.729 5056989.965,486817.605 5056989.63,486821.29 5056988.357,486822.965 5056988.223,486824.305 5056988.357,486825.511 5056989.027,486825.98 5056989.9649,486832.8149 5056977.5276,486831.7428 5056976.6342,486826.5615 5056985.8356,486823.3455 5056985.3889,486821.8268 5056985.3889,486819.5935 5056986.0142,486817.0921 5056986.8182,486814.5015 5056986.9076,486810.7495 5056986.1036,486791.1855 5056973.6862,486789.7561 5056972.4356,486787.9695 5056970.1129,486787.0761 5056966.2716,486784.2593 5056964.6178,486782.7426 5056967.2073,486785.0653 5056968.994,486785.512 5056970.87,486785.9586 5056972.3886,486787.388 5056974.354,486803.8253 5056985.6993,486802.128 5056989.0046,486804.406 5056990.5679)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"184"
"MULTIPOLYGON (((487079.8265 5057060.7569,487069.9127 5057055.874,487069.2946 5057057.39,487078.8415 5057061.8899,487079.4826 5057064.1629,487079.9515 5057062.4329,487079.9435 5057061.5699,487079.8265 5057060.7569)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"19"
"MULTIPOLYGON (((486038.3845 5057937.8678,486037.234 5057937.5138,486032.396 5057938.3988,486031.747 5057938.8118,486031.629 5057939.4903,486031.9535 5057941.7028,486032.514 5057942.3223,486033.1631 5057942.4698,486038.3256 5057941.5553,486039.0336 5057940.9358,486038.3845 5057937.8678)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"28"
"MULTIPOLYGON (((487129.2527 5058725.0431,487128.5216 5058726.9898,487128.8794 5058727.1119,487130.0191 5058727.5009,487130.8761 5058727.7934,487130.9825 5058729.6648,487132.392 5058730.1706,487134.2705 5058730.8308,487134.8946 5058729.3032,487143.9635 5058732.3415,487145.2445 5058731.9975,487146.1975 5058731.4385,487147.0645 5058730.7126,487148.1345 5058729.5286,487149.1274 5058728.1066,487150.0564 5058726.6536,487150.8689 5058725.0354,487151.1658 5058724.4443,487150.0805 5058724.0059,487149.6031 5058723.813,487148.7834 5058725.4736,487148.3454 5058726.5016,487147.4394 5058727.4976,487146.3844 5058728.4706,487145.4164 5058728.9856,487143.7135 5058729.5756,487141.6975 5058729.5756,487130.0262 5058725.3248,487129.2527 5058725.0431)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"59"
"MULTIPOLYGON (((487617.763 5058280.151,487613.84 5058277.75,487611.33 5058281.845,487615.315 5058284.233,487617.763 5058280.151)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"22"
"MULTIPOLYGON (((487623.101 5056612.2541,487622.0034 5056611.5915,487620.1096 5056614.4047,487619.2374 5056615.7005,487620.3084 5056616.5214,487623.101 5056612.2541)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"7"
